"nflId","displayName","position","avg_goe","std_goe","avg_error","n_plays"
42547,"Darren Waller","TE",0.0681521138134784,0.196170715146069,0.175072815435624,124
47924,"Zach Gentry","TE",0.0558823892163299,0.203285050865657,0.182255505009878,71
44831,"O.J. Howard","TE",0.0543831748411137,0.188767724591885,0.16608273362338,67
37139,"Randall Cobb","WR",0.0493059428128314,0.173985313563761,0.142597623045474,109
44987,"Eric Saubert","TE",0.0478715826493225,0.185643308617596,0.168968272496695,72
53485,"D'Wayne Eskridge","WR",0.0469491136007434,0.221299402662146,0.186744711012659,72
44959,"George Kittle","TE",0.0467508573542601,0.171009954902086,0.152325455716947,158
42033,"Cameron Brate","TE",0.0464041447331376,0.182909936716625,0.158250357713776,112
48118,"Ashton Dulin","WR",0.0446792963018049,0.14542317193127,0.121634085729897,51
54571,"Cade Otton","TE",0.0420972638836299,0.200217866381334,0.179337853004783,207
41292,"Jarvis Landry","WR",0.0410724004230197,0.155728278632761,0.124095797220305,84
53484,"Pat Freiermuth","TE",0.0407034264082404,0.195805488611269,0.169925821201629,164
52454,"K.J. Hamler","WR",0.0363247183063327,0.137283136211885,0.111791393431019,130
53512,"Tommy Tremble","TE",0.0362887422501026,0.188783816839177,0.168515720763851,109
46155,"Mark Andrews","TE",0.0353322029217905,0.179071092666156,0.15460211526466,184
46170,"Ian Thomas","TE",0.0341435343569762,0.20247745262976,0.176682725378186,78
53435,"Jaylen Waddle","WR",0.0329674169490013,0.178496870773936,0.145271470849103,256
47852,"Josh Oliver","TE",0.0326145676964176,0.197078099983757,0.165356466578936,59
45339,"Pharaoh Brown","TE",0.0324698190504143,0.201862219654033,0.174452275784256,67
43396,"Chris Moore","WR",0.0322774992865509,0.188332958211161,0.158521447457391,136
54501,"Breece Hall","RB",0.0322746521439294,0.118381392959148,0.0742375954395513,99
54519,"Skyy Moore","WR",0.0299611445303891,0.160456213181861,0.123963397672921,69
43344,"Tyler Boyd","WR",0.0289954589459088,0.163967210976917,0.134348552608867,281
53646,"Khalil Herbert","RB",0.0288709359137815,0.101751761126195,0.0732727677551432,51
42347,"Amari Cooper","WR",0.0286579271351087,0.150924800349448,0.119878934141748,216
53433,"Kyle Pitts","TE",0.027311495429209,0.180632220338117,0.14594762717574,133
48683,"Joseph Fortson","TE",0.0272699053572153,0.16986051858633,0.137298814045073,53
47954,"Darius Slayton","WR",0.0266852575887149,0.173454036986678,0.129667636926445,96
52470,"A.J. Dillon","RB",0.0257719274706017,0.115458341988441,0.0811436066224249,128
47856,"David Montgomery","RB",0.0253483508221327,0.110885044485118,0.0829401358783526,90
52536,"Gabe Davis","WR",0.0244198963032595,0.142715817762431,0.109383028211886,225
47847,"DK Metcalf","WR",0.0235251360364981,0.146077390118029,0.118299687342703,202
44817,"Corey Davis","WR",0.023231575785615,0.164072290317958,0.135324432252307,179
39983,"Zach Ertz","TE",0.0227619959023203,0.166919164215095,0.140860647268499,295
42363,"Nelson Agholor","WR",0.0226215712125581,0.155202517596934,0.118829950529327,104
42448,"Jamison Crowder","WR",0.0223861537334578,0.173020241324495,0.138284099972364,61
43334,"Derrick Henry","RB",0.0221049136733772,0.109605717968436,0.0773308755955761,65
43808,"Robbie Chosen","WR",0.0210754324461632,0.147179600265243,0.114442194141662,168
46705,"Allen Lazard","WR",0.021025981226405,0.15935635821233,0.128643929220022,213
43324,"Hunter Henry","TE",0.0209995145931414,0.212188591140176,0.185933444366366,173
41290,"Allen Robinson","WR",0.0202930435372315,0.174458095679393,0.135811749462527,255
52584,"K.J. Osborn","WR",0.0202859171355567,0.177221500811653,0.140828650055341,230
45052,"Noah Brown","WR",0.0202445482760234,0.170006745193898,0.133698647200217,171
52457,"Chase Claypool","WR",0.0195853883055533,0.181130795872279,0.14437774049735,266
46206,"Dalton Schultz","TE",0.0187277412678024,0.160769035133949,0.137539809929505,111
52609,"James Proche","WR",0.0186964523955024,0.163773773365885,0.126251713641965,58
44930,"Josh Reynolds","WR",0.0181719225531503,0.159779070302532,0.125970583395205,207
46160,"Tre'Quan Smith","WR",0.0178856599016527,0.158141427461064,0.127153139882688,137
53678,"Ben Skowronek","WR",0.0176970629875066,0.176232420689997,0.142143484427884,205
47836,"Miles Sanders","RB",0.0170279614958011,0.113342447903225,0.0737394901203416,113
46093,"D.J. Moore","WR",0.0169549258184835,0.142036856691987,0.10951091390312,235
54518,"Alec Pierce","WR",0.0164382833046327,0.125203889427796,0.0967108266147908,208
52513,"Adam Trautman","TE",0.0163405868078177,0.206542299057177,0.175071196031315,53
